Player,Pos,Year,Salary,PTS,TRB,AST,STL,BLK,FGA,FG,FTA,FT,TOV,Efficiency,Salary_per_Efficiency,Team_sal,Team_stats,G,MP
Jonas Valanciunas,C,2017.0,9900000,959.0,759.0,57.0,37.0,63.0,702.0,391.0,217.0,176.0,106.0,1417.0,6986.591390261115,SAC,TOR,80.0,2066.0
Derrick Jones Jr.,SF,2017.0,9523810,168.0,79.0,12.0,14.0,13.0,121.0,68.0,41.0,29.0,13.0,208.0,45787.54807692308,LAC,PHO,32.0,545.0
Al Horford,C,2017.0,9500000,952.0,464.0,337.0,52.0,87.0,801.0,379.0,135.0,108.0,116.0,1327.0,7159.005275056518,BOS,BOS,68.0,2193.0
Pat Connaughton,SG,2017.0,9423869,98.0,52.0,28.0,6.0,2.0,72.0,37.0,9.0,7.0,17.0,132.0,71392.94696969698,MIL,POR,39.0,316.0
T.J. McConnell,PG,2017.0,9300000,556.0,251.0,534.0,134.0,10.0,512.0,236.0,90.0,73.0,159.0,1033.0,9002.904162633107,IND,PHI,81.0,2133.0
Gary Payton II,PG,2017.0,9130000,20.0,12.0,13.0,3.0,4.0,22.0,8.0,5.0,3.0,10.0,26.0,351153.8461538461,GSW,MIL,6.0,99.0
Buddy Hield,SG,2017.0,8780488,866.0,269.0,121.0,38.0,9.0,768.0,327.0,76.0,64.0,101.0,749.0,11722.947930574099,GSW,TOT,82.0,1888.0
Buddy Hield,SG,2017.0,8780488,488.0,166.0,77.0,18.0,7.0,472.0,185.0,33.0,29.0,48.0,417.0,21056.326139088727,GSW,NOP,57.0,1161.0
Buddy Hield,SG,2017.0,8780488,378.0,103.0,44.0,20.0,2.0,296.0,142.0,43.0,35.0,53.0,332.0,26447.253012048193,GSW,SAC,25.0,727.0
Kyle Anderson,SG,2017.0,8780488,246.0,208.0,91.0,51.0,26.0,209.0,93.0,57.0,45.0,39.0,455.0,19297.775824175824,MIA,SAS,72.0,1020.0
Georges Niang,PF,2017.0,8500000,21.0,17.0,5.0,3.0,0.0,36.0,9.0,2.0,2.0,5.0,14.0,607142.8571428572,ATL,IND,23.0,93.0
Trey Lyles,PF,2017.0,8000000,440.0,235.0,70.0,26.0,20.0,439.0,159.0,79.0,57.0,64.0,425.0,18823.529411764706,SAC,UTA,71.0,1158.0
Jeff Green,PF,2017.0,8000000,638.0,214.0,81.0,37.0,13.0,558.0,220.0,168.0,145.0,75.0,547.0,14625.228519195613,HOU,ORL,69.0,1534.0
Kevon Looney,C,2017.0,8000000,135.0,124.0,29.0,14.0,17.0,107.0,56.0,34.0,21.0,17.0,238.0,33613.445378151264,GSW,GSW,53.0,447.0
Kelly Oubre Jr.,SF,2017.0,7983000,501.0,260.0,47.0,58.0,17.0,442.0,186.0,99.0,75.0,49.0,554.0,14409.747292418773,PHI,WAS,79.0,1605.0
Gary Harris,SG,2017.0,7500000,851.0,178.0,164.0,71.0,8.0,637.0,320.0,134.0,104.0,76.0,849.0,8833.922261484098,ORL,DEN,57.0,1782.0
Malik Beasley,SG,2017.0,6000000,83.0,17.0,11.0,7.0,0.0,73.0,33.0,10.0,8.0,8.0,68.0,88235.29411764706,DET,DEN,22.0,165.0
Davis Bertans,PF,2017.0,5250000,303.0,99.0,46.0,20.0,28.0,234.0,103.0,34.0,28.0,32.0,327.0,16055.045871559632,CHO,SAS,67.0,808.0
Kris Dunn,PG,2017.0,5168000,293.0,166.0,188.0,78.0,36.0,313.0,118.0,59.0,36.0,89.0,454.0,11383.259911894273,LAC,MIN,78.0,1333.0
Dario Saric,PF,2017.0,5168000,1040.0,513.0,182.0,57.0,30.0,927.0,381.0,220.0,172.0,183.0,1045.0,4945.454545454545,DEN,PHI,81.0,2129.0
Andre Drummond,C,2017.0,5000000,1105.0,1116.0,89.0,124.0,89.0,911.0,483.0,355.0,137.0,152.0,1725.0,2898.550724637681,PHI,DET,81.0,2409.0
Nicolas Batum,SG,2017.0,4668000,1164.0,481.0,455.0,86.0,29.0,975.0,393.0,284.0,243.0,194.0,1398.0,3339.0557939914165,LAC,CHO,77.0,2617.0
Dwight Powell,C,2017.0,4000000,516.0,306.0,49.0,61.0,39.0,377.0,194.0,141.0,107.0,34.0,720.0,5555.555555555556,DAL,DAL,77.0,1333.0
Kevin Love,PF,2017.0,3850000,1142.0,666.0,116.0,53.0,22.0,867.0,370.0,295.0,257.0,122.0,1342.0,2868.8524590163934,MIA,CLE,60.0,1885.0
Cody Zeller,PF,2017.0,3500000,639.0,405.0,99.0,62.0,58.0,443.0,253.0,196.0,133.0,65.0,945.0,3703.703703703704,HOU,CHO,62.0,1725.0
Eric Gordon,SG,2017.0,3303771,1217.0,201.0,188.0,48.0,40.0,1016.0,412.0,175.0,147.0,121.0,941.0,3510.914984059511,PHI,HOU,75.0,2323.0
Cory Joseph,SG,2017.0,3303771,740.0,235.0,265.0,66.0,13.0,661.0,299.0,122.0,94.0,108.0,821.0,4024.0816077953714,ORL,TOR,80.0,2003.0
Russell Westbrook,PG,2017.0,5631296,2558.0,864.0,840.0,133.0,31.0,1941.0,824.0,840.0,710.0,438.0,2741.0,2054.4677125136814,DEN,OKC,81.0,2802.0
Dante Exum,PG,2017.0,3150000,412.0,132.0,112.0,21.0,12.0,363.0,155.0,73.0,58.0,80.0,386.0,8160.621761658031,DAL,UTA,66.0,1228.0
Josh Richardson,SG,2017.0,3051153,539.0,168.0,140.0,60.0,39.0,513.0,202.0,77.0,60.0,65.0,553.0,5517.455696202532,UTA,MIA,53.0,1614.0
Christian Wood,PF,2017.0,3036040,35.0,29.0,2.0,3.0,6.0,23.0,12.0,15.0,11.0,7.0,53.0,57283.77358490566,LAL,CHO,13.0,107.0
Dewayne Dedmon,C,2017.0,2748674,387.0,495.0,44.0,37.0,61.0,259.0,161.0,93.0,65.0,61.0,837.0,3283.959378733572,DET,SAS,76.0,1330.0
Russell Westbrook,PG,2017.0,5631296,2558.0,864.0,840.0,133.0,31.0,1941.0,824.0,840.0,710.0,438.0,2741.0,2054.4677125136814,UTA,OKC,81.0,2802.0
JaVale McGee,C,2017.0,2208856,472.0,244.0,17.0,19.0,67.0,319.0,208.0,111.0,56.0,40.0,613.0,3603.353996737357,DAL,GSW,77.0,739.0
Reggie Jackson,PG,2017.0,4033748,752.0,113.0,270.0,35.0,5.0,677.0,284.0,136.0,118.0,114.0,650.0,6205.766153846153,WAS,DET,52.0,1424.0
Alex Len,C,2017.0,2831348,613.0,510.0,44.0,37.0,98.0,463.0,230.0,208.0,150.0,102.0,909.0,3114.794279427943,WAS,PHO,77.0,1560.0
Garrett Temple,SG,2017.0,2087519,506.0,183.0,169.0,84.0,28.0,432.0,183.0,74.0,58.0,78.0,627.0,3329.37639553429,TOR,SAC,65.0,1728.0
Doug McDermott,SF,2017.0,2087519,592.0,179.0,58.0,13.0,5.0,497.0,222.0,84.0,71.0,38.0,521.0,4006.7543186180424,SAC,TOT,66.0,1508.0
Doug McDermott,SF,2017.0,2087519,447.0,130.0,45.0,11.0,4.0,373.0,166.0,67.0,59.0,32.0,390.0,5352.612820512821,SAC,CHI,44.0,1078.0
Doug McDermott,SF,2017.0,2087519,145.0,49.0,13.0,2.0,1.0,124.0,56.0,17.0,12.0,6.0,131.0,15935.259541984733,SAC,OKC,22.0,430.0
Tyus Jones,PG,2017.0,2087519,209.0,67.0,156.0,47.0,5.0,181.0,75.0,43.0,33.0,38.0,330.0,6325.815151515151,PHO,MIN,60.0,774.0
Mason Plumlee,C,2017.0,2087519,842.0,606.0,284.0,69.0,92.0,623.0,334.0,300.0,174.0,135.0,1343.0,1554.3700670141475,PHO,TOT,81.0,2148.0
Mason Plumlee,C,2017.0,2087519,597.0,433.0,214.0,50.0,63.0,442.0,235.0,224.0,127.0,89.0,964.0,2165.4761410788383,PHO,POR,54.0,1516.0
Mason Plumlee,C,2017.0,2087519,245.0,173.0,70.0,19.0,29.0,181.0,99.0,76.0,47.0,46.0,379.0,5507.965699208443,PHO,DEN,27.0,632.0
Kyle Lowry,PG,2017.0,2087519,1344.0,288.0,417.0,88.0,19.0,918.0,426.0,365.0,299.0,173.0,1425.0,1464.9256140350876,PHI,TOR,60.0,2244.0
Cameron Payne,PG,2017.0,2087519,160.0,48.0,55.0,14.0,5.0,193.0,64.0,8.0,5.0,29.0,121.0,17252.22314049587,NYK,TOT,31.0,462.0
Cameron Payne,PG,2017.0,2087519,106.0,31.0,40.0,10.0,5.0,130.0,43.0,4.0,4.0,16.0,89.0,23455.26966292135,NYK,OKC,20.0,320.0
Cameron Payne,PG,2017.0,2087519,54.0,17.0,15.0,4.0,0.0,63.0,21.0,4.0,1.0,13.0,32.0,65234.96875,NYK,CHI,11.0,142.0
Delon Wright,PG,2017.0,2087519,150.0,48.0,57.0,27.0,11.0,116.0,49.0,55.0,42.0,25.0,188.0,11103.824468085106,NYK,TOR,27.0,446.0
Joe Ingles,SF,2017.0,2087519,581.0,260.0,224.0,96.0,8.0,451.0,204.0,68.0,50.0,107.0,797.0,2619.2208281053954,MIN,UTA,82.0,1972.0
Alec Burks,SG,2017.0,2087519,283.0,120.0,30.0,18.0,5.0,248.0,99.0,78.0,60.0,35.0,254.0,8218.57874015748,MIA,UTA,42.0,653.0
Markieff Morris,PF,2017.0,2087519,1063.0,492.0,126.0,82.0,42.0,889.0,406.0,215.0,180.0,129.0,1158.0,1802.6934369602764,LAL,WAS,76.0,2374.0
Patty Mills,PG,2017.0,2087519,759.0,142.0,280.0,65.0,3.0,622.0,273.0,80.0,66.0,101.0,785.0,2659.2598726114647,LAC,SAS,80.0,1754.0
James Johnson,PF,2017.0,2087519,975.0,375.0,276.0,76.0,86.0,769.0,368.0,215.0,152.0,171.0,1153.0,1810.510841283608,IND,MIA,76.0,2085.0
DeAndre Jordan,C,2017.0,2087519,1029.0,1114.0,96.0,52.0,135.0,577.0,412.0,425.0,205.0,116.0,1925.0,1084.4254545454546,DEN,LAC,81.0,2570.0
Spencer Dinwiddie,PG,2017.0,2087519,432.0,164.0,185.0,44.0,23.0,302.0,134.0,159.0,126.0,66.0,581.0,3592.975903614458,DAL,BRK,59.0,1334.0
Tristan Thompson,C,2017.0,2087519,630.0,716.0,77.0,39.0,84.0,437.0,262.0,213.0,106.0,64.0,1200.0,1739.5991666666666,CLE,CLE,78.0,2336.0
Seth Curry,PG,2017.0,2087519,898.0,178.0,188.0,79.0,7.0,703.0,338.0,100.0,85.0,92.0,878.0,2377.584282460137,CHO,DAL,70.0,2029.0
Taj Gibson,PF,2017.0,2087519,846.0,486.0,73.0,42.0,66.0,709.0,365.0,158.0,113.0,105.0,1019.0,2048.595682041217,CHO,TOT,78.0,1989.0
Taj Gibson,PF,2017.0,2087519,639.0,383.0,60.0,28.0,51.0,530.0,276.0,119.0,85.0,77.0,796.0,2622.511306532663,CHO,CHI,55.0,1502.0
Taj Gibson,PF,2017.0,2087519,207.0,103.0,13.0,14.0,15.0,179.0,89.0,39.0,28.0,28.0,223.0,9361.071748878923,CHO,OKC,23.0,487.0
Reggie Jackson,PG,2017.0,4033748,752.0,113.0,270.0,35.0,5.0,677.0,284.0,136.0,118.0,114.0,650.0,6205.766153846153,CHO,DET,52.0,1424.0
Jae Crowder,SF,2017.0,1655619,999.0,415.0,155.0,72.0,23.0,720.0,333.0,217.0,176.0,79.0,1157.0,1430.9585133967157,SAC,BOS,72.0,2335.0
Eric Bledsoe,PG,2017.0,1300000,1390.0,320.0,418.0,92.0,31.0,1034.0,449.0,458.0,388.0,223.0,1373.0,946.8317552804078,POR,PHO,66.0,2176.0
Alex Len,C,2017.0,2831348,613.0,510.0,44.0,37.0,98.0,463.0,230.0,208.0,150.0,102.0,909.0,3114.794279427943,LAL,PHO,77.0,1560.0
Nik Stauskas,SG,2017.0,702310,756.0,226.0,188.0,45.0,32.0,634.0,251.0,150.0,122.0,128.0,708.0,991.9632768361582,IND,PHI,80.0,2188.0
Bismack Biyombo,C,2017.0,647851,483.0,567.0,74.0,25.0,91.0,339.0,179.0,234.0,125.0,95.0,876.0,739.5559360730593,SAS,ORL,81.0,1793.0
Ricky Rubio,PG,2017.0,424672,836.0,305.0,682.0,128.0,10.0,650.0,261.0,285.0,254.0,195.0,1346.0,315.5066864784547,CLE,MIN,75.0,2469.0
Elfrid Payton,PG,2017.0,789048,1046.0,387.0,529.0,88.0,40.0,912.0,430.0,211.0,146.0,178.0,1365.0,578.0571428571428,NOP,ORL,82.0,2412.0
P.J. Tucker,SF,2017.0,12025777,540.0,472.0,99.0,116.0,19.0,482.0,199.0,93.0,72.0,66.0,876.0,13728.055936073059,NYK,TOT,81.0,2236.0
P.J. Tucker,SF,2017.0,12025777,401.0,343.0,73.0,85.0,14.0,354.0,147.0,77.0,61.0,52.0,641.0,18760.96255850234,NYK,PHO,57.0,1627.0
P.J. Tucker,SF,2017.0,12025777,139.0,129.0,26.0,31.0,5.0,128.0,52.0,16.0,11.0,14.0,235.0,51173.51914893617,NYK,TOR,24.0,609.0
Bismack Biyombo,C,2017.0,647851,483.0,567.0,74.0,25.0,91.0,339.0,179.0,234.0,125.0,95.0,876.0,739.5559360730593,SAS,ORL,81.0,1793.0
Bismack Biyombo,C,2017.0,647851,483.0,567.0,74.0,25.0,91.0,339.0,179.0,234.0,125.0,95.0,876.0,739.5559360730593,SAS,ORL,81.0,1793.0
Elfrid Payton,PG,2017.0,789048,1046.0,387.0,529.0,88.0,40.0,912.0,430.0,211.0,146.0,178.0,1365.0,578.0571428571428,NOP,ORL,82.0,2412.0
Elfrid Payton,PG,2017.0,789048,1046.0,387.0,529.0,88.0,40.0,912.0,430.0,211.0,146.0,178.0,1365.0,578.0571428571428,NOP,ORL,82.0,2412.0
P.J. Tucker,SF,2017.0,12025777,540.0,472.0,99.0,116.0,19.0,482.0,199.0,93.0,72.0,66.0,876.0,13728.055936073059,NYK,TOT,81.0,2236.0
P.J. Tucker,SF,2017.0,12025777,401.0,343.0,73.0,85.0,14.0,354.0,147.0,77.0,61.0,52.0,641.0,18760.96255850234,NYK,PHO,57.0,1627.0
P.J. Tucker,SF,2017.0,12025777,139.0,129.0,26.0,31.0,5.0,128.0,52.0,16.0,11.0,14.0,235.0,51173.51914893617,NYK,TOR,24.0,609.0
P.J. Tucker,SF,2017.0,12025777,540.0,472.0,99.0,116.0,19.0,482.0,199.0,93.0,72.0,66.0,876.0,13728.055936073059,NYK,TOT,81.0,2236.0
P.J. Tucker,SF,2017.0,12025777,401.0,343.0,73.0,85.0,14.0,354.0,147.0,77.0,61.0,52.0,641.0,18760.96255850234,NYK,PHO,57.0,1627.0
P.J. Tucker,SF,2017.0,12025777,139.0,129.0,26.0,31.0,5.0,128.0,52.0,16.0,11.0,14.0,235.0,51173.51914893617,NYK,TOR,24.0,609.0
Elfrid Payton,PG,2017.0,789048,1046.0,387.0,529.0,88.0,40.0,912.0,430.0,211.0,146.0,178.0,1365.0,578.0571428571428,CHO,ORL,82.0,2412.0
