Player,Salary
Branden Carlson,496519
Branden Carlson,496519
Terence Davis,64301
Marcus Bagley,126356
Brandon Williams,47989
Javante McCoy,47265
Isaiah Mobley,11997
Braxton Key,11997
JD Davison,11997
Kylor Kelley,73153
Jaylen Sims,73153
